unit,phonemes,n_ph,ayah_collisions,distinct_surahs,basmala_cost,eff_misfire_contexts,example_hits
37:138#01,w a b i aa l l l a y l,11,105,49,,105,2:3=0.36; 2:8=0.36; 2:28=0.27; 2:62=0.27
49:13#03,' i n n a a l l aa h a 3 a l ii m u n x a b ii r,23,104,26,,104,2:20=0.35; 2:98=0.39; 2:106=0.39; 2:115=0.35
52:33#02,b a l l l aa y u ' m i n uu n,14,104,45,,104,2:3=0.36; 2:4=0.36; 2:6=0.29; 2:75=0.43
12:90#03,q a d m a n n a a l l aa h u 3 a l a y n aa,21,103,37,,103,2:7=0.38; 2:70=0.43; 2:76=0.33; 2:165=0.43
15:13#01,l aa y u ' m i n uu n a b i h,14,103,46,,103,2:3=0.21; 2:4=0.21; 2:6=0.29; 2:85=0.29
28:4#02,' i n n a h u k aa n a m i n a a l m u f s i d ii n,25,103,38,,103,2:12=0.32; 2:135=0.36; 2:147=0.44; 2:252=0.28
15:1#01,' a r,3,102,53,,102,1:3=0.0; 5:26=0.0; 5:33=0.0; 6:11=0.0
49:1#03,' i n n a a l l aa h a s a m ii 3 u n 3 a l ii m,23,102,31,,102,2:115=0.17; 2:127=0.39; 2:158=0.22; 2:181=0.0
66:2#02,w aa l l l a h u m a w l aa k u m,16,102,31,,102,2:19=0.38; 2:72=0.38; 2:105=0.44; 2:202=0.38
6:12#02,q u l l l i l l a h,10,100,46,,100,1:2=0.3; 2:79=0.3; 2:98=0.3; 2:142=0.0
42:42#02,' uu l aa ' i k a l a h u m 3 a dh aa b u n ' a l ii m,25,100,40,,100,2:5=0.4; 2:7=0.36; 2:10=0.24; 2:104=0.4
2:184#06,' i n k u n t u m t a 3 l a m uu n,17,99,42,,99,2:23=0.41; 2:33=0.35; 2:42=0.24; 2:72=0.35
19:84#01,f a l aa t a 3 j a l 3 a l a y h i m,18,99,44,,99,1:7=0.39; 2:38=0.28; 2:112=0.33; 2:203=0.33
2:280#03,' i n k u n t u m t a 3 l a m uu n,17,98,42,,98,2:23=0.41; 2:33=0.35; 2:42=0.24; 2:72=0.35
5:1#03,' i n n a a l l aa h a y a H k u m u m aa y u r ii d,25,98,32,,98,2:67=0.36; 2:77=0.28; 2:190=0.44; 2:195=0.4
6:81#03,' i n k u n t u m t a 3 l a m uu n,17,98,41,,98,2:23=0.41; 2:33=0.35; 2:42=0.24; 2:72=0.35
3:155#03,' i n n a a l l aa h a gh a f uu r u n H a l ii m,23,97,27,,97,2:115=0.26; 2:158=0.22; 2:173=0.13; 2:176=0.43
13:31#05,' i n n a a l l aa h a l aa y u x l i f u a l m ii 3 aa d,27,96,29,,96,2:26=0.41; 2:77=0.44; 2:115=0.44; 2:190=0.26
47:10#02,d a m m a r a a l l aa h u 3 a l a y h i m,21,96,41,,96,2:7=0.43; 2:27=0.38; 2:64=0.43; 2:246=0.43
18:17#02,dh aa l i k a m i n ' aa y aa t i a l l aa h,20,94,42,,94,2:61=0.35; 2:73=0.4; 2:74=0.45; 2:207=0.45
74:21,th u m m a n a Z a r,10,94,48,,94,2:28=0.4; 2:52=0.3; 2:56=0.3; 2:92=0.4
2:173#03,' i n n a a l l aa h a gh a f uu r u n r r a H ii m,24,93,36,,93,2:182=0.0; 2:192=0.0; 2:199=0.0; 2:218=0.29
2:182#02,' i n n a a l l aa h a gh a f uu r u n r r a H ii m,24,93,36,,93,2:173=0.0; 2:192=0.0; 2:199=0.0; 2:218=0.29
21:75#02,' i n n a h u m i n a a S S aa l i H ii n,20,93,37,,93,2:74=0.4; 2:130=0.25; 2:145=0.45; 2:249=0.4
8:10#03,' i n n a a l l aa h a 3 a z ii z u n H a k ii m,23,92,31,,92,2:98=0.39; 2:129=0.35; 2:153=0.43; 2:158=0.3
3:188#02,w a l a h u m 3 a dh aa b u n ' a l ii m,19,91,46,,91,2:7=0.11; 2:10=0.0; 2:104=0.32; 2:114=0.42
7:116#01,q aa l a ' a l q uu aa,10,91,32,,91,2:33=0.3; 2:67=0.3; 2:124=0.4; 2:131=0.4
33:55#02,w aa t t a q ii n a a l l aa h,14,91,34,,91,2:120=0.43; 2:165=0.36; 2:189=0.21; 2:194=0.21
2:199#02,' i n n a a l l aa h a gh a f uu r u n r r a H ii m,24,90,36,,90,2:173=0.0; 2:182=0.0; 2:192=0.0; 2:218=0.29
5:36#02,w a l a h u m 3 a dh aa b u n ' a l ii m,19,90,46,,90,2:7=0.11; 2:10=0.0; 2:104=0.32; 2:114=0.42
16:91#02,' i n n a a l l aa h a y a 3 l a m u m aa t a f 3 a l uu n,28,90,32,,90,2:67=0.39; 2:77=0.25; 2:110=0.32; 2:194=0.39
21:30#03,' a f a l aa y u ' m i n uu n,14,89,47,,89,2:3=0.36; 2:4=0.36; 2:6=0.29; 2:75=0.36
36:3,' i n n a k a l a m i n a a l m u r s a l ii n,23,89,28,,89,2:32=0.39; 2:67=0.39; 2:127=0.43; 2:147=0.39
22:14#02,' i n n a a l l aa h a y a f 3 a l u m aa y u r ii d,25,87,26,,87,2:26=0.44; 2:67=0.36; 2:77=0.28; 2:132=0.4
28:31#04,' i n n a k a m i n a a l ' aa m i n ii n,20,87,35,,87,2:74=0.4; 2:120=0.4; 2:145=0.4; 2:147=0.45
3:118#03,' i n k u n t u m t a 3 q i l uu n,17,86,35,,86,2:23=0.35; 2:44=0.41; 2:72=0.41; 2:94=0.35
7:183#01,w a ' u m l ii l a h u m,12,85,41,,85,2:36=0.42; 2:186=0.42; 3:178=0.25; 4:2=0.42
22:18#04,' i n n a a l l aa h a y a f 3 a l u m aa y a sh aa ' u,26,85,31,,85,2:67=0.42; 2:77=0.31; 2:132=0.42; 2:173=0.42
44:37#02,' a h l a k n aa h u m,11,85,35,,85,3:25=0.36; 3:117=0.27; 4:54=0.36; 5:65=0.27
10:36#03,' i n n a a l l aa h a 3 a l ii m u n b i m aa y a f 3 a l uu n,30,84,29,,84,2:20=0.4; 2:77=0.4; 2:106=0.43; 2:109=0.4
26:28#02,' i n k u n t u m t a 3 q i l uu n,17,84,34,,84,2:23=0.35; 2:44=0.41; 2:72=0.41; 2:94=0.35
58:2#04,w a ' i n n a a l l aa h a l a 3 a f u w w u n gh a f uu r,28,84,27,,84,2:98=0.32; 2:173=0.43; 2:182=0.43; 2:192=0.39
2:153#02,' i n n a a l l aa h a m a 3 a a S S aa b i r ii n,24,83,28,,83,2:98=0.42; 2:158=0.38; 2:173=0.42; 2:182=0.42
